Text,URL
Hasanabdal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=99
Jhelum,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=60
ArifWala,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=24
Hazro,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=126
Pinanwal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=128
PakPattan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=26
BahawalNagar,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=27
Chunian,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=37
Khanpur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=67
Chistian,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=30
Kanganpur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=116
LiaqatPur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=71
Fortabas,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=85
Kasur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=11
RahimYarKhan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=8
HaroonAbad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=29
,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=138
Khudian,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=117
SadiqAbad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=66
Minchanabad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=139
Kotradhakishan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=115
Patoki,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=23
PhoolNagar,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=38
JamPur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=56
AhmadPurEast,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=52
RajanPur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=63
BahawalPur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=20
HasalPur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=53
Abdulhakim,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=95
Yazman,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=76
Jahanian,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=49
GujarKhan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=31
Khairpurtamewali,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=138
KabirWala,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=22
Rawalpindi,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=6
KachaKhu,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=51
Khanewal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=18
Bhakhar,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=9
MianChannu,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=50
Chichawatni,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=34
Kalurkot,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=84
Kassowal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=137
Sahiwal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=13
Jauharabad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=131
Chakwal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=59
Mithatiwana,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=132
ChuaSaidanShah,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=89
Quaidabad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=133
Bhalwal,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=10
TalaGang,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=87
Kotmoman,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=142
Phularwan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=129
Kotlakhpat,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=111
Sargodha,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=5
DGKhan,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=36
Lahore,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=1
Sillanwali,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=94
KotChutta,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=54
Lahore(Singhpura),http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=110
Taunsasharif,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=140
MultanRoadLahore,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=109
Raiwind,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=98
Farooqabad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=90
Mananwala,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=114
ChackJhumra,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=72
Muridke,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=83
Faisalabad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=2
Fatehpur,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=77
Narangmandi,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=108
Jaranwala,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=25
Layyah,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=16
Safdarabad,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=113
Summandri,http://www.amis.pk/ViewPrices.aspx?searchType=1&commodityId=73
